Year,State,<1 month,1-5  mos ,6-11 mos ,12-17 mos ,18-23 mos ,24-29 mos ,30-35 mos ,3-4 yrs,5+ years,Total # Children,Missing Data,Mean,Median
2012,Arizona,0.4,27.8,49.8,12.4,3.9,1.9,0.8,1.9,1.1,2264,11,10,7
2012,Arkansas,0.6,27.5,36.4,19.5,6.7,3.4,1.7,3.1,1.1,703,0,12.1,9
2012,California,0.8,25.3,38.2,20.4,6.6,3.5,1.9,2.5,0.9,5916,22,11.6,9
2012,Colorado,0.5,22.5,33.3,16.1,8,7.2,2.5,7.9,2.1,865,40,15.3,10
2012,Connecticut,0.7,42.8,31.8,10.3,5.5,3.1,1.8,2.4,1.8,456,34,10.4,6
2012,Delaware,0,39.6,31.9,14.3,6.6,4.4,1.1,2.2,0,91,0,9.8,8
2012,District of Columbia,5.3,54,22.1,5.3,5.3,2.7,2.7,0,2.7,113,1,9.3,5
2012,Florida,0.3,38.5,33.6,12.8,4.8,3.5,1.5,2.9,2.1,3263,31,11.3,7
2012,Georgia,0.2,34,28.5,17.4,8.6,4.1,2.5,3.7,0.9,870,45,11.9,8
2012,Hawaii,2.7,25.1,42.8,13.9,5.3,1.6,2.7,2.1,3.7,187,0,12.4,8
2012,Idaho,0.7,33.3,43.2,11.4,2.6,3.7,1.8,2.9,0.4,273,0,9.9,8
2012,Illinois,5,5.4,22.7,29.5,13.6,8.7,4,8.5,2.5,1790,13,18.6,15
2012,Indiana,11.2,28.1,25,16.2,6.7,4.4,2.5,4.9,0.9,1677,36,11.5,8
2012,Iowa,0.5,38.9,38.1,12,4.7,2.2,0.9,1.5,1.3,1001,31,10,7
2012,Kansas,0.8,15.9,37.2,19.1,10.5,4.9,5.4,4.9,1.4,761,3,14.9,11
2012,Kentucky,0.4,28.8,34.4,18,7.5,4.7,1.8,3.3,1,784,0,11.7,9
2012,Louisiana,0,13.9,46.7,22,11.6,3.4,0.8,1.4,0.3,655,0,11.9,10
2012,Maine,0,10.8,33.9,25.5,14,3.8,3.8,5.6,2.4,286,5,16.8,13
2012,Maryland,2.1,57.9,21,6.6,4.8,1.4,1.4,1.7,3.1,290,165,10.1,4
2012,Massachusetts,0.4,21.7,30,15.9,10.8,7.1,5.2,6.6,2.3,747,7,16,11
2012,Michigan,0,13.7,40.2,19.8,11,5.2,3.9,4.8,1.4,2547,12,14.8,11
2012,Minnesota,0,12.2,35.5,23.1,9.3,6.6,5.2,6.8,1.4,516,4,16,12
2012,Mississippi,0,34.5,26,18.2,7.8,5,0.9,5.7,1.9,423,2,13,9
2012,Missouri,30.5,35.2,16.4,8.7,2,1.2,1.2,2.4,2.5,1217,11,8,3
2012,Montana,8.3,15.3,37.5,13,7.4,6.5,2.8,6.5,2.8,216,9,15,10
2012,Nebraska,10.2,40.4,22.3,12.6,7,3.1,0.5,3.6,0.2,413,4,8.9,5
2012,Nevada,0.4,26.7,36.2,16.2,8.6,3.2,2.5,4.9,1.3,757,19,12.8,9
2012,New Hampshire,5.4,55.4,12,13,3.3,4.3,2.2,4.3,0,92,4,8.8,4
2012,New Jersey,1.7,35.7,33.8,12.6,7.3,4,1.4,2.1,1.5,1015,8,11,7
2012,New Mexico,0.3,17.7,31.3,20,10.1,8.1,3.5,8.7,0.3,345,0,15.3,12
2012,New York,0.5,19.9,30.8,19.1,10.9,5.8,3.9,6,3.1,2162,20,16.6,11
2012,North Carolina,3.1,38.9,32.5,15.4,3.6,2.3,1,2.5,0.8,1328,1,9.3,7
2012,North Dakota,1.3,19.4,51,15.5,4.5,4.5,1.3,1.9,0.6,155,0,11,9
2012,Ohio,1.4,23.8,32.2,18.3,8.3,5.4,3.4,5.1,2.1,1250,0,14.2,10
2012,Oklahoma,2,25.6,34.6,15.9,8.2,5.2,2.9,3.3,2.4,1531,2,13.4,9
2012,Oregon,0.1,5.3,31.9,34.6,15.4,5.9,2.8,3.1,1,683,0,15.5,13
2012,Pennsylvania,1.3,36.3,38.9,13.7,4.8,1.9,1.1,1.1,0.9,1862,19,9.5,7
2012,Rhode Island,65.4,15.4,6.4,2.7,3.7,1.1,1.6,3.7,0,188,3,4.4,0
2012,South Carolina,2.6,38.5,30.7,8.4,4.8,3.7,3.4,6.1,1.9,776,0,12.1,6
2012,South Dakota,0.8,12,26.4,28.8,19.2,4.8,3.2,3.2,1.6,125,1,15.7,13
2012,Tennessee,10.1,57.5,16.3,7.4,3.8,1.8,1.2,1.4,0.5,772,41,6.4,3
2012,Texas,0,19.5,34.7,19.9,9.9,5.5,2.9,5.2,2.5,5035,4,15.3,11
2012,Utah,5.9,59.3,18.9,6.6,3,1.2,0.5,4.1,0.5,562,0,7.4,3
2012,Vermont,0.6,63.2,22.8,6.4,2.9,0,1.2,1.8,1.2,171,1,7.1,4
2012,Virginia,0.3,19.1,37,17.4,8.9,6,3.2,4.5,3.6,619,20,15.9,10
